Neurons,Batch Size,Epochs,Epoch 1,Epoch 2,Epoch 3,Eval Train,Eval Val,Eval Test
100,8,3,738.6996384729864,711.8776602799771,707.479270069045,575.2956426169258,114.26882745407056,115.44534918596037
100,16,3,466.47630758502055,454.09989118692465,441.89935543597676,372.5570225379197,73.3838497280376,74.37803764897399
100,32,3,319.32732112007216,309.359128313954,308.4925807570107,270.44947273202706,53.5262346729869,53.71148857101798
100,64,3,242.5480092219077,237.42992508294992,238.12188259302638,217.86346506199334,43.518719227053225,43.4394023680361
100,128,3,199.7230750869494,197.72228658304084,198.789855914074,188.5494472499704,37.785010711988434,37.651600211975165
400,8,3,795.5224285549484,763.0503903379431,760.9231539260363,612.7435990329832,122.16135164606385,121.51726301398594
400,16,3,481.6677915479522,474.85419275891036,456.00879633205477,384.98703420790844,78.15813459397759,78.00003848294728
400,32,3,330.3960192500381,325.03436262591276,319.39460444194265,279.03378332196735,55.55424249893986,55.627900294959545
400,64,3,264.39653066999745,260.1404534620233,260.4924701410346,224.35121817002073,44.904654401005246,44.30280453397427
100,128,3,200.81127169996034,197.91741000907496,196.73433318990283,186.42639036593027,37.281068067997694,37.186062462977134
1600,32,3,483.68971230392344,482.03963276196737,479.5443517889362,293.19625881302636,58.04304309992585,58.15082193596754
