Neurons,Batch Size,Epochs,Epoch 1,Epoch 2,Epoch 3,Epoch 4,Epoch 5,Epoch 6,Epoch 7,Eval Train,Eval Val,Eval Test
100,32,7,321.9384096340509,311.75367155100685,307.0112868390279,305.7356055570999,306.1389592170017,301.06807188503444,299.45290452300105,262.69578794692643,52.34586120105814,52.56971447903197
400,32,7,338.6490322269965,329.8577677840367,330.01114142208826,326.02716559008695,324.5898644120898,323.46135786303785,320.4947335179895,277.21551966201514,55.60880920209456,56.592055068933405
1600,8,7,877.1413707529427,863.5410447779577,863.3098616229836,856.597267303965,853.0346786959562,849.3496247569565,848.7097319579916,612.3982287340332,122.04582780704368,122.15737793594599
1600,16,7,617.4026499319589,611.8235716400668,612.5396754631074,610.2408183799125,601.6089902690146,601.8530525469687,603.6137813800015,403.78856646304484,80.66829062008765,80.9068472799845
1600,32,7,481.6321501919301,480.29481688002124,481.07469978393055,480.30646752996836,476.4896145580569,474.8694811449386,473.8059010680299,286.89301177393645,57.02853883698117,57.40743495197967
1600,64,7,408.8901571080787,407.4123798060464,409.2266780930804,407.90151336602867,406.38905243901536,404.50383945694193,406.9422351489775,228.26420433004387,45.61084555706475,45.60694017296191
1600,128,7,
